iteration,temperature,current_cost,best_cost,accepted,reason,move
316,20.51603898497257,205,202,True,soft_constraint_evaluation,swap 37<->38
317,20.41345879004771,205,202,False,hard_constraint_violation,swap 37<->75
318,20.31139149609747,205,202,False,hard_constraint_violation,swap 64<->29
319,20.209834538616985,205,202,False,hard_constraint_violation,relocate 47
320,20.1087853659239,205,202,False,hard_constraint_violation,swap 38<->76
321,20.00824143909428,205,202,True,soft_constraint_evaluation,relocate 74
322,19.90820023189881,205,202,False,hard_constraint_violation,swap 37<->76
323,19.808659230739316,205,202,False,hard_constraint_violation,swap 75<->38
324,19.70961593458562,205,202,False,hard_constraint_violation,swap 54<->9
325,19.611067854912694,205,202,False,hard_constraint_violation,swap 12<->70
326,19.51301251563813,205,202,False,hard_constraint_violation,swap 76<->38
327,19.41544745305994,210,202,True,soft_constraint_evaluation,swap 75<->76
328,19.31837021579464,210,202,False,hard_constraint_violation,relocate 20
329,19.221778364715668,210,202,False,hard_constraint_violation,relocate 7
330,19.12566947289209,205,202,True,soft_constraint_evaluation,swap 76<->75
331,19.030041125527628,205,202,False,hard_constraint_violation,swap 38<->75
332,18.93489091989999,210,202,True,soft_constraint_evaluation,swap 37<->38
333,18.84021646530049,210,202,False,hard_constraint_violation,swap 37<->76
334,18.746015382973987,210,202,False,hard_constraint_violation,swap 1<->27
335,18.652285306059117,210,202,False,hard_constraint_violation,swap 18<->33
336,18.55902387952882,210,202,False,hard_constraint_violation,swap 1<->66
337,18.466228760131177,210,202,False,hard_constraint_violation,relocate 23
338,18.37389761633052,202,202,True,soft_constraint_evaluation,swap 67<->74
339,18.282028128248868,202,202,False,hard_constraint_violation,relocate 48
340,18.190617987607624,202,202,False,hard_constraint_violation,swap 58<->3
341,18.099664897669584,202,202,False,hard_constraint_violation,swap 43<->57
342,18.009166573181236,202,202,False,hard_constraint_violation,swap 75<->37
343,17.91912074031533,202,202,False,hard_constraint_violation,swap 38<->75
344,17.829525136613753,197,197,True,soft_constraint_evaluation,swap 37<->38
345,17.740377510930685,197,197,False,hard_constraint_violation,relocate 32
346,17.651675623376033,197,197,False,hard_constraint_violation,swap 53<->42
347,17.563417245259153,197,197,False,hard_constraint_violation,relocate 29
348,17.475600159032858,197,197,False,hard_constraint_violation,relocate 10
349,17.388222158237692,197,197,False,hard_constraint_violation,swap 47<->19
350,17.301281047446505,197,197,False,hard_constraint_violation,swap 33<->26
351,17.21477464220927,197,197,False,hard_constraint_violation,swap 10<->23
352,17.128700768998225,197,197,False,hard_constraint_violation,relocate 66
353,17.043057265153234,197,197,False,hard_constraint_violation,relocate 75
354,16.957841978827467,197,197,False,hard_constraint_violation,swap 75<->37
355,16.87305276893333,202,197,True,soft_constraint_evaluation,swap 76<->75
356,16.788687505088664,202,197,False,hard_constraint_violation,swap 48<->67
357,16.70474406756322,202,197,False,hard_constraint_violation,swap 76<->37
358,16.621220347225403,202,197,False,hard_constraint_violation,swap 37<->75
359,16.538114245489275,202,197,False,hard_constraint_violation,relocate 12
360,16.45542367426183,197,197,True,soft_constraint_evaluation,swap 76<->75
361,16.37314655589052,197,197,False,hard_constraint_violation,swap 60<->25
362,16.29128082311107,202,197,True,soft_constraint_evaluation,swap 38<->37
363,16.209824418995513,202,197,False,hard_constraint_violation,relocate 46
364,16.128775296900535,204,197,True,soft_constraint_evaluation,swap 6<->32
365,16.048131420416034,204,197,False,hard_constraint_violation,relocate 70
366,15.967890763313953,204,197,False,hard_constraint_violation,swap 75<->38
367,15.888051309497383,204,197,False,hard_constraint_violation,swap 37<->75
368,15.808611052949896,204,197,False,hard_constraint_violation,swap 45<->13
369,15.729567997685146,204,197,False,hard_constraint_violation,swap 75<->38
370,15.65092015769672,204,197,False,hard_constraint_violation,relocate 20
371,15.572665556908238,204,197,False,hard_constraint_violation,swap 47<->42
372,15.494802229123696,204,197,False,hard_constraint_violation,relocate 53
373,15.417328217978078,204,197,False,hard_constraint_violation,swap 42<->74
374,15.340241576888188,204,197,False,hard_constraint_violation,swap 38<->75
375,15.263540369003747,204,197,False,hard_constraint_violation,relocate 70
376,15.187222667158728,204,197,False,hard_constraint_violation,swap 75<->37
377,15.111286553822934,204,197,False,hard_constraint_violation,swap 28<->46
378,15.035730121053819,204,197,False,hard_constraint_violation,relocate 65
379,14.96055147044855,204,197,False,hard_constraint_violation,swap 20<->10
380,14.885748713096307,204,197,False,hard_constraint_violation,swap 67<->72
381,14.811319969530825,204,197,False,hard_constraint_violation,relocate 70
382,14.73726336968317,204,197,False,hard_constraint_violation,swap 51<->20
383,14.663577052834754,204,197,False,hard_constraint_violation,swap 59<->6
384,14.59025916757058,206,197,True,soft_constraint_evaluation,swap 59<->39
385,14.517307871732726,206,197,False,hard_constraint_violation,relocate 30
386,14.444721332374062,206,197,False,hard_constraint_violation,swap 38<->76
387,14.372497725712192,206,197,False,hard_constraint_violation,swap 76<->38
388,14.30063523708363,206,197,False,hard_constraint_violation,relocate 67
389,14.229132060898213,206,197,False,hard_constraint_violation,swap 26<->18
390,14.157986400593721,206,197,False,hard_constraint_violation,relocate 7
391,14.087196468590752,206,197,False,hard_constraint_violation,relocate 73
392,14.016760486247799,206,197,False,hard_constraint_violation,relocate 69
393,13.94667668381656,206,197,False,hard_constraint_violation,swap 35<->60
394,13.876943300397478,206,197,False,hard_constraint_violation,relocate 19
395,13.80755858389549,206,197,False,hard_constraint_violation,swap 60<->47
396,13.738520790976013,206,197,False,hard_constraint_violation,relocate 56
397,13.669828187021134,206,197,False,hard_constraint_violation,swap 38<->76
398,13.601479046086029,206,197,False,hard_constraint_violation,relocate 50
399,13.5334716508556,206,197,False,hard_constraint_violation,swap 45<->19
400,13.465804292601321,206,197,False,soft_constraint_evaluation,swap 76<->75
401,13.398475271138315,206,197,False,hard_constraint_violation,relocate 63
402,13.331482894782622,206,197,False,hard_constraint_violation,swap 3<->33
403,13.264825480308708,206,197,False,hard_constraint_violation,swap 73<->70
404,13.198501352907165,206,197,False,hard_constraint_violation,swap 38<->76
405,13.13250884614263,206,197,False,hard_constraint_violation,swap 56<->61
406,13.066846301911916,206,197,False,hard_constraint_violation,swap 37<->75
407,13.001512070402356,206,197,False,hard_constraint_violation,swap 19<->40
408,12.936504510050344,206,197,False,hard_constraint_violation,swap 38<->75
409,12.871821987500093,206,197,False,hard_constraint_violation,swap 70<->49
410,12.807462877562592,206,197,False,hard_constraint_violation,swap 52<->63
411,12.74342556317478,206,197,False,hard_constraint_violation,swap 75<->38
